Departure,Arrival,Date,Departure,Arrival,Flight
,,,Hour,Hour,Count
,,,,,
,,,,,
ALB,EWR,5/2/13,5,6,1
ALB,EWR,5/2/13,9,10,1
ALB,EWR,5/2/13,12,13,1
ALB,EWR,5/2/13,15,16,1
ALB,EWR,5/2/13,18,19,1
ALB,EWR,5/2/13,22,23,2
ATL,EWR,5/2/13,6,8,1
ATL,EWR,5/2/13,7,9,1
ATL,EWR,5/2/13,7,10,1
ATL,EWR,5/2/13,8,11,1
ATL,EWR,5/2/13,9,12,1
ATL,EWR,5/2/13,10,12,1
ATL,EWR,5/2/13,11,13,1
ATL,EWR,5/2/13,12,14,1
ATL,EWR,5/2/13,12,15,1
ATL,EWR,5/2/13,14,16,1
ATL,EWR,5/2/13,15,17,1
ATL,EWR,5/2/13,15,18,1
ATL,EWR,5/2/13,16,19,1
ATL,EWR,5/2/13,17,20,2
ATL,EWR,5/2/13,19,21,1
ATL,EWR,5/2/13,19,22,1
ATL,EWR,5/2/13,21,23,1
AUS,EWR,5/2/13,6,10,1
AUS,EWR,5/2/13,10,14,1
AUS,EWR,5/2/13,11,16,1
AUS,EWR,5/2/13,17,22,1
AVL,EWR,5/2/13,11,12,1
AVP,EWR,5/2/13,5,6,1
AVP,EWR,5/2/13,12,13,1
AVP,EWR,5/2/13,15,16,1
BDL,EWR,5/2/13,5,5,1
BDL,EWR,5/2/13,5,7,1
BDL,EWR,5/2/13,9,10,1
BDL,EWR,5/2/13,19,21,1
BDR,EWR,5/2/13,2,3,1
BNA,EWR,5/2/13,5,9,1
BNA,EWR,5/2/13,9,12,1
BNA,EWR,5/2/13,11,14,1
BNA,EWR,5/2/13,12,15,1
BNA,EWR,5/2/13,15,18,1
BNA,EWR,5/2/13,17,20,1
BNA,EWR,5/2/13,19,22,1
BNA,EWR,5/2/13,20,23,1
BOS,EWR,5/2/13,6,7,1
BOS,EWR,5/2/13,6,8,2
BOS,EWR,5/2/13,7,8,1
BOS,EWR,5/2/13,8,9,1
BOS,EWR,5/2/13,9,10,2
BOS,EWR,5/2/13,10,11,1
BOS,EWR,5/2/13,12,13,1
BOS,EWR,5/2/13,12,14,1
BOS,EWR,5/2/13,14,15,1
BOS,EWR,5/2/13,14,16,1
BOS,EWR,5/2/13,15,17,1
BOS,EWR,5/2/13,17,19,1
BOS,EWR,5/2/13,18,20,1
BOS,EWR,5/2/13,19,21,1
BOS,EWR,5/2/13,20,22,2
BOS,EWR,5/2/13,22,23,1
BQN,EWR,5/2/13,1,5,1
BTV,EWR,5/2/13,6,7,1
BTV,EWR,5/2/13,9,11,1
BTV,EWR,5/2/13,14,15,1
BTV,EWR,5/2/13,15,16,1
BUF,EWR,5/2/13,6,7,1
BUF,EWR,5/2/13,8,9,1
BUF,EWR,5/2/13,11,13,1
BUF,EWR,5/2/13,13,15,1
BUF,EWR,5/2/13,16,17,1
BUF,EWR,5/2/13,18,20,1
BUF,EWR,5/2/13,22,23,1
BWI,EWR,5/2/13,5,6,1
BWI,EWR,5/2/13,9,11,1
BWI,EWR,5/2/13,10,11,1
BWI,EWR,5/2/13,13,15,1
BWI,EWR,5/2/13,17,19,1
BWI,EWR,5/2/13,23,0,1
BWI,EWR,5/2/13,23,23,1
CAE,EWR,5/2/13,20,22,1
CHS,EWR,5/2/13,6,8,1
CHS,EWR,5/2/13,10,12,1
CHS,EWR,5/2/13,12,14,1
CHS,EWR,5/2/13,16,18,1
CHS,EWR,5/2/13,19,21,1
CLE,EWR,5/2/13,6,7,1
CLE,EWR,5/2/13,7,9,1
CLE,EWR,5/2/13,11,13,1
CLE,EWR,5/2/13,15,16,1
CLE,EWR,5/2/13,16,18,1
CLE,EWR,5/2/13,18,20,1
CLT,EWR,5/2/13,6,8,1
CLT,EWR,5/2/13,7,9,1
CLT,EWR,5/2/13,8,10,1
CLT,EWR,5/2/13,9,11,1
CLT,EWR,5/2/13,11,13,3
CLT,EWR,5/2/13,13,14,1
CLT,EWR,5/2/13,14,16,2
CLT,EWR,5/2/13,17,19,1
CLT,EWR,5/2/13,18,20,2
CLT,EWR,5/2/13,20,21,1
CLT,EWR,5/2/13,22,23,1
CMH,EWR,5/2/13,6,8,1
CMH,EWR,5/2/13,10,12,1
CMH,EWR,5/2/13,12,13,1
CMH,EWR,5/2/13,17,19,1
CVG,EWR,5/2/13,4,6,1
CVG,EWR,5/2/13,6,7,1
CVG,EWR,5/2/13,7,9,2
CVG,EWR,5/2/13,11,13,1
CVG,EWR,5/2/13,13,15,2
CVG,EWR,5/2/13,16,18,1
CVG,EWR,5/2/13,17,20,1
CVG,EWR,5/2/13,20,22,1
DAY,EWR,5/2/13,6,8,1
DAY,EWR,5/2/13,10,12,1
DAY,EWR,5/2/13,14,16,1
DAY,EWR,5/2/13,18,20,1
DCA,EWR,5/2/13,7,8,1
DCA,EWR,5/2/13,8,9,1
DCA,EWR,5/2/13,11,12,1
DCA,EWR,5/2/13,14,16,1
DCA,EWR,5/2/13,16,18,1
DCA,EWR,5/2/13,18,19,1
DCA,EWR,5/2/13,19,20,1
DCA,EWR,5/2/13,21,22,1
DEN,EWR,5/2/13,8,13,1
DEN,EWR,5/2/13,10,16,1
DEN,EWR,5/2/13,11,17,2
DEN,EWR,5/2/13,12,18,1
DEN,EWR,5/2/13,16,22,1
DEN,EWR,5/2/13,18,0,1
DEN,EWR,5/2/13,18,23,1
DFW,EWR,5/2/13,6,10,1
DFW,EWR,5/2/13,7,11,1
DFW,EWR,5/2/13,9,13,1
DFW,EWR,5/2/13,10,14,1
DFW,EWR,5/2/13,11,16,2
DFW,EWR,5/2/13,13,18,1
DFW,EWR,5/2/13,14,19,1
DFW,EWR,5/2/13,15,19,1
DFW,EWR,5/2/13,16,21,1
DFW,EWR,5/2/13,17,21,1
DFW,EWR,5/2/13,19,23,1
DSM,EWR,5/2/13,6,10,1
DTW,EWR,5/2/13,6,7,1
DTW,EWR,5/2/13,7,9,1
DTW,EWR,5/2/13,9,11,1
DTW,EWR,5/2/13,10,12,1
DTW,EWR,5/2/13,11,12,1
DTW,EWR,5/2/13,13,15,1
DTW,EWR,5/2/13,14,16,1
DTW,EWR,5/2/13,15,17,1
DTW,EWR,5/2/13,17,19,2
DTW,EWR,5/2/13,20,21,1
DTW,EWR,5/2/13,21,23,1
FLL,EWR,5/2/13,5,8,1
FLL,EWR,5/2/13,9,12,1
FLL,EWR,5/2/13,11,15,1
FLL,EWR,5/2/13,13,16,1
FLL,EWR,5/2/13,14,17,1
FLL,EWR,5/2/13,16,19,1
FLL,EWR,5/2/13,18,21,1
FLL,EWR,5/2/13,19,22,1
GRR,EWR,5/2/13,11,12,1
GRR,EWR,5/2/13,18,20,1
GSO,EWR,5/2/13,6,7,1
GSO,EWR,5/2/13,9,11,1
GSO,EWR,5/2/13,15,16,1
GSO,EWR,5/2/13,18,20,1
GSP,EWR,5/2/13,6,7,1
GSP,EWR,5/2/13,9,11,1
GSP,EWR,5/2/13,17,19,1
HNL,EWR,5/2/13,20,11,1
HOU,EWR,5/2/13,8,12,1
HOU,EWR,5/2/13,17,21,1
HTO,EWR,5/2/13,20,20,1
IAD,EWR,5/2/13,6,7,1
IAD,EWR,5/2/13,9,10,1
IAD,EWR,5/2/13,10,12,1
IAD,EWR,5/2/13,12,13,1
IAD,EWR,5/2/13,14,16,1
IAD,EWR,5/2/13,16,18,1
IAD,EWR,5/2/13,21,23,1
IAD,EWR,5/2/13,23,0,1
IAH,EWR,5/2/13,6,10,1
IAH,EWR,5/2/13,7,11,1
IAH,EWR,5/2/13,8,13,1
IAH,EWR,5/2/13,10,15,1
IAH,EWR,5/2/13,12,17,2
IAH,EWR,5/2/13,13,18,1
IAH,EWR,5/2/13,14,19,1
IAH,EWR,5/2/13,15,20,1
IAH,EWR,5/2/13,18,23,2
IAH,EWR,5/2/13,19,23,1
IAH,EWR,5/2/13,21,1,1
IND,EWR,5/2/13,3,5,1
IND,EWR,5/2/13,4,6,1
IND,EWR,5/2/13,6,8,1
IND,EWR,5/2/13,10,12,1
IND,EWR,5/2/13,11,13,1
IND,EWR,5/2/13,13,15,1
IND,EWR,5/2/13,15,18,1
IND,EWR,5/2/13,18,20,1
IND,EWR,5/2/13,19,21,1
ITH,EWR,5/2/13,6,7,1
ITH,EWR,5/2/13,9,10,1
ITH,EWR,5/2/13,16,17,1
JAX,EWR,5/2/13,5,8,1
JAX,EWR,5/2/13,11,14,1
JAX,EWR,5/2/13,13,16,1
JAX,EWR,5/2/13,17,20,1
LAS,EWR,5/2/13,6,13,1
LAS,EWR,5/2/13,7,15,1
LAS,EWR,5/2/13,11,19,1
LAS,EWR,5/2/13,15,23,1
LAS,EWR,5/2/13,16,0,1
LAX,EWR,5/2/13,5,13,1
LAX,EWR,5/2/13,6,14,1
LAX,EWR,5/2/13,7,15,1
LAX,EWR,5/2/13,7,16,1
LAX,EWR,5/2/13,8,16,1
LAX,EWR,5/2/13,8,17,1
LAX,EWR,5/2/13,9,18,1
LAX,EWR,5/2/13,10,18,1
LAX,EWR,5/2/13,10,19,1
LAX,EWR,5/2/13,11,20,1
LAX,EWR,5/2/13,12,21,1
LAX,EWR,5/2/13,13,21,1
LAX,EWR,5/2/13,15,23,1
LAX,EWR,5/2/13,16,0,1
LAX,EWR,5/2/13,21,5,1
LAX,EWR,5/2/13,22,6,1
LAX,EWR,5/2/13,23,7,2
LCK,EWR,5/2/13,23,1,1
MCI,EWR,5/2/13,6,9,1
MCI,EWR,5/2/13,11,15,1
MCI,EWR,5/2/13,14,18,1
MCI,EWR,5/2/13,17,20,1
MCI,EWR,5/2/13,18,22,1
MCO,EWR,5/2/13,5,8,1
MCO,EWR,5/2/13,7,10,2
MCO,EWR,5/2/13,10,12,1
MCO,EWR,5/2/13,10,13,1
MCO,EWR,5/2/13,11,14,1
MCO,EWR,5/2/13,12,14,1
MCO,EWR,5/2/13,14,16,1
MCO,EWR,5/2/13,15,18,1
MCO,EWR,5/2/13,16,19,1
MCO,EWR,5/2/13,19,22,2
MDT,EWR,5/2/13,6,7,1
MDT,EWR,5/2/13,7,8,1
MDT,EWR,5/2/13,13,15,1
MDT,EWR,5/2/13,22,0,1
MDW,EWR,5/2/13,6,9,1
MDW,EWR,5/2/13,8,11,1
MDW,EWR,5/2/13,10,13,1
MDW,EWR,5/2/13,13,16,1
MDW,EWR,5/2/13,16,19,1
MDW,EWR,5/2/13,19,22,1
MDW,EWR,5/2/13,22,1,1
MEM,EWR,5/2/13,2,6,1
MEM,EWR,5/2/13,3,6,1
MEM,EWR,5/2/13,10,14,1
MEM,EWR,5/2/13,14,18,1
MEM,EWR,5/2/13,15,18,1
MEM,EWR,5/2/13,15,19,1
MEM,EWR,5/2/13,16,19,1
MEM,EWR,5/2/13,18,22,1
MHT,EWR,5/2/13,5,7,1
MHT,EWR,5/2/13,6,7,1
MHT,EWR,5/2/13,7,8,1
MHT,EWR,5/2/13,13,14,1
MHT,EWR,5/2/13,15,17,1
MIA,EWR,5/2/13,7,10,1
MIA,EWR,5/2/13,8,10,1
MIA,EWR,5/2/13,9,11,1
MIA,EWR,5/2/13,9,12,1
MIA,EWR,5/2/13,12,15,1
MIA,EWR,5/2/13,13,16,1
MIA,EWR,5/2/13,17,20,1
MIA,EWR,5/2/13,20,23,1
MIA,EWR,5/2/13,21,23,1
MKE,EWR,5/2/13,6,9,1
MKE,EWR,5/2/13,9,12,1
MKE,EWR,5/2/13,15,18,1
MKE,EWR,5/2/13,17,20,1
MSN,EWR,5/2/13,18,21,1
MSP,EWR,5/2/13,7,10,1
MSP,EWR,5/2/13,7,11,1
MSP,EWR,5/2/13,10,13,1
MSP,EWR,5/2/13,10,14,1
MSP,EWR,5/2/13,13,17,1
MSP,EWR,5/2/13,14,18,1
MSP,EWR,5/2/13,15,18,1
MSP,EWR,5/2/13,16,20,1
MSP,EWR,5/2/13,17,21,1
MSP,EWR,5/2/13,19,22,1
MSP,EWR,5/2/13,19,23,1
MSY,EWR,5/2/13,6,10,1
MSY,EWR,5/2/13,7,11,1
MSY,EWR,5/2/13,10,14,1
MSY,EWR,5/2/13,15,20,1
MSY,EWR,5/2/13,18,23,1
MYR,EWR,5/2/13,11,13,1
OAK,EWR,5/2/13,8,16,1
OKC,EWR,5/2/13,6,11,1
OMA,EWR,5/2/13,8,12,1
OMA,EWR,5/2/13,13,17,1
OMA,EWR,5/2/13,16,20,1
ORD,EWR,5/2/13,0,3,1
ORD,EWR,5/2/13,6,9,2
ORD,EWR,5/2/13,7,10,1
ORD,EWR,5/2/13,8,11,2
ORD,EWR,5/2/13,9,12,2
ORD,EWR,5/2/13,11,14,1
ORD,EWR,5/2/13,11,15,1
ORD,EWR,5/2/13,12,15,1
ORD,EWR,5/2/13,12,16,1
ORD,EWR,5/2/13,13,17,1
ORD,EWR,5/2/13,14,17,1
ORD,EWR,5/2/13,15,18,1
ORD,EWR,5/2/13,16,20,2
ORD,EWR,5/2/13,17,20,1
ORD,EWR,5/2/13,18,21,2
ORD,EWR,5/2/13,19,22,1
ORD,EWR,5/2/13,20,23,1
ORD,EWR,5/2/13,21,0,1
ORD,EWR,5/2/13,22,1,1
ORF,EWR,5/2/13,6,7,1
ORF,EWR,5/2/13,10,11,1
ORF,EWR,5/2/13,14,15,1
ORF,EWR,5/2/13,17,18,1
ORF,EWR,5/2/13,19,20,1
PBG,EWR,5/2/13,19,22,1
PBI,EWR,5/2/13,6,9,1
PBI,EWR,5/2/13,8,11,1
PBI,EWR,5/2/13,10,13,1
PBI,EWR,5/2/13,11,14,1
PBI,EWR,5/2/13,17,20,1
PDX,EWR,5/2/13,6,14,1
PHL,EWR,5/2/13,9,10,1
PHL,EWR,5/2/13,13,14,1
PHL,EWR,5/2/13,16,17,1
PHL,EWR,5/2/13,19,20,1
PHL,EWR,5/2/13,20,21,1
PHL,EWR,5/2/13,22,23,1
PHX,EWR,5/2/13,6,14,1
PHX,EWR,5/2/13,8,16,1
PHX,EWR,5/2/13,10,17,1
PHX,EWR,5/2/13,10,18,1
PHX,EWR,5/2/13,12,19,1
PHX,EWR,5/2/13,15,23,1
PHX,EWR,5/2/13,22,6,1
PIT,EWR,5/2/13,6,7,3
PIT,EWR,5/2/13,7,8,1
PIT,EWR,5/2/13,8,10,1
PIT,EWR,5/2/13,9,11,1
PIT,EWR,5/2/13,12,14,1
PIT,EWR,5/2/13,14,15,1
PIT,EWR,5/2/13,17,19,1
PVD,EWR,5/2/13,3,4,1
PVD,EWR,5/2/13,6,7,1
PVD,EWR,5/2/13,7,7,1
PVD,EWR,5/2/13,13,14,1
PVD,EWR,5/2/13,17,18,1
