Departure,Arrival,Date,Departure,Arrival,Flight
,,,Hour,Hour,Count
,,,,,
,,,,,
ABQ,SFO,5/2/13,5,7,1
ABQ,SFO,5/2/13,14,16,1
ACV,SFO,5/2/13,6,7,1
ACV,SFO,5/2/13,8,9,1
ACV,SFO,5/2/13,10,11,1
ACV,SFO,5/2/13,12,14,1
ACV,SFO,5/2/13,14,16,1
ACV,SFO,5/2/13,17,19,1
ATL,SFO,5/2/13,8,10,1
ATL,SFO,5/2/13,9,12,1
ATL,SFO,5/2/13,10,13,1
ATL,SFO,5/2/13,13,16,1
ATL,SFO,5/2/13,16,18,1
ATL,SFO,5/2/13,16,19,1
ATL,SFO,5/2/13,17,20,1
ATL,SFO,5/2/13,19,21,1
ATL,SFO,5/2/13,21,0,1
AUS,SFO,5/2/13,6,8,1
AUS,SFO,5/2/13,8,10,1
AUS,SFO,5/2/13,13,15,1
AUS,SFO,5/2/13,14,16,1
AUS,SFO,5/2/13,19,21,1
BFI,SFO,5/2/13,8,10,1
BFI,SFO,5/2/13,10,12,1
BFL,SFO,5/2/13,6,7,1
BFL,SFO,5/2/13,19,21,1
BOI,SFO,5/2/13,5,6,1
BOI,SFO,5/2/13,8,9,1
BOI,SFO,5/2/13,11,12,1
BOI,SFO,5/2/13,14,15,1
BOI,SFO,5/2/13,17,18,1
BOS,SFO,5/2/13,6,9,1
BOS,SFO,5/2/13,7,11,1
BOS,SFO,5/2/13,8,11,2
BOS,SFO,5/2/13,8,12,1
BOS,SFO,5/2/13,9,12,1
BOS,SFO,5/2/13,11,14,1
BOS,SFO,5/2/13,15,19,1
BOS,SFO,5/2/13,16,20,1
BOS,SFO,5/2/13,17,20,1
BOS,SFO,5/2/13,17,21,1
BOS,SFO,5/2/13,19,23,1
BOS,SFO,5/2/13,20,23,1
BTV,SFO,5/2/13,7,9,1
BUF,SFO,5/2/13,15,17,1
BUR,SFO,5/2/13,7,8,1
BUR,SFO,5/2/13,8,9,1
BUR,SFO,5/2/13,9,11,1
BUR,SFO,5/2/13,10,12,1
BUR,SFO,5/2/13,13,14,1
BUR,SFO,5/2/13,18,19,1
BUR,SFO,5/2/13,20,21,1
BWI,SFO,5/2/13,6,9,1
CEC,SFO,5/2/13,8,10,1
CEC,SFO,5/2/13,14,16,1
CIC,SFO,5/2/13,6,7,1
CIC,SFO,5/2/13,12,13,1
CIC,SFO,5/2/13,18,19,1
CLE,SFO,5/2/13,8,11,1
CLE,SFO,5/2/13,17,19,1
CLT,SFO,5/2/13,7,10,1
CLT,SFO,5/2/13,9,12,1
CLT,SFO,5/2/13,16,19,1
CLT,SFO,5/2/13,18,20,1
CLT,SFO,5/2/13,19,22,1
CMA,SFO,5/2/13,1,19,1
COS,SFO,5/2/13,7,9,1
CVG,SFO,5/2/13,4,6,1
CVG,SFO,5/2/13,9,11,1
DAL,SFO,5/2/13,10,11,1
DCA,SFO,5/2/13,8,11,1
DCA,SFO,5/2/13,17,20,1
DEN,SFO,5/2/13,6,7,1
DEN,SFO,5/2/13,8,9,1
DEN,SFO,5/2/13,8,10,3
DEN,SFO,5/2/13,10,11,1
DEN,SFO,5/2/13,11,13,2
DEN,SFO,5/2/13,12,13,1
DEN,SFO,5/2/13,14,15,2
DEN,SFO,5/2/13,15,17,1
DEN,SFO,5/2/13,16,18,2
DEN,SFO,5/2/13,17,19,1
DEN,SFO,5/2/13,19,20,1
DEN,SFO,5/2/13,20,22,2
DEN,SFO,5/2/13,21,23,1
DFW,SFO,5/2/13,5,7,1
DFW,SFO,5/2/13,7,9,2
DFW,SFO,5/2/13,8,10,1
DFW,SFO,5/2/13,10,12,1
DFW,SFO,5/2/13,11,13,1
DFW,SFO,5/2/13,12,14,1
DFW,SFO,5/2/13,13,15,2
DFW,SFO,5/2/13,14,16,2
DFW,SFO,5/2/13,15,17,1
DFW,SFO,5/2/13,17,18,1
DFW,SFO,5/2/13,18,21,1
DFW,SFO,5/2/13,19,20,1
DFW,SFO,5/2/13,19,21,1
DFW,SFO,5/2/13,20,22,1
DFW,SFO,5/2/13,21,23,1
DTW,SFO,5/2/13,8,10,1
DTW,SFO,5/2/13,12,14,1
DTW,SFO,5/2/13,15,18,1
DTW,SFO,5/2/13,19,21,1
EUG,SFO,5/2/13,5,7,1
EUG,SFO,5/2/13,7,9,1
EUG,SFO,5/2/13,10,12,1
EUG,SFO,5/2/13,12,14,1
EUG,SFO,5/2/13,17,18,1
EUG,SFO,5/2/13,18,19,1
EWR,SFO,5/2/13,6,9,1
EWR,SFO,5/2/13,7,10,1
EWR,SFO,5/2/13,7,11,1
EWR,SFO,5/2/13,8,11,1
EWR,SFO,5/2/13,9,13,1
EWR,SFO,5/2/13,10,13,1
EWR,SFO,5/2/13,10,14,1
EWR,SFO,5/2/13,11,14,1
EWR,SFO,5/2/13,12,15,1
EWR,SFO,5/2/13,13,17,1
EWR,SFO,5/2/13,15,18,1
EWR,SFO,5/2/13,16,19,1
EWR,SFO,5/2/13,17,21,2
EWR,SFO,5/2/13,18,22,1
EWR,SFO,5/2/13,19,23,1
EWR,SFO,5/2/13,20,0,1
FAT,SFO,5/2/13,5,6,1
FAT,SFO,5/2/13,7,8,1
FAT,SFO,5/2/13,9,10,1
FAT,SFO,5/2/13,11,12,1
FAT,SFO,5/2/13,17,18,1
FAT,SFO,5/2/13,18,18,1
FLL,SFO,5/2/13,9,12,1
FLL,SFO,5/2/13,18,21,1
FLL,SFO,5/2/13,19,22,1
FOT,SFO,5/2/13,14,15,1
GEG,SFO,5/2/13,6,8,1
GEG,SFO,5/2/13,15,17,1
HNL,SFO,5/2/13,6,14,1
HNL,SFO,5/2/13,12,20,1
HNL,SFO,5/2/13,14,22,1
HNL,SFO,5/2/13,21,5,1
HNL,SFO,5/2/13,22,7,2
IAD,SFO,5/2/13,6,9,1
IAD,SFO,5/2/13,7,9,1
IAD,SFO,5/2/13,7,10,1
IAD,SFO,5/2/13,8,10,1
IAD,SFO,5/2/13,8,11,1
IAD,SFO,5/2/13,9,12,1
IAD,SFO,5/2/13,10,13,1
IAD,SFO,5/2/13,12,13,1
IAD,SFO,5/2/13,12,15,1
IAD,SFO,5/2/13,15,18,1
IAD,SFO,5/2/13,16,19,1
IAD,SFO,5/2/13,17,20,1
IAD,SFO,5/2/13,18,21,1
IAD,SFO,5/2/13,20,23,1
IAD,SFO,5/2/13,22,0,1
IAH,SFO,5/2/13,7,9,1
IAH,SFO,5/2/13,9,11,1
IAH,SFO,5/2/13,11,13,1
IAH,SFO,5/2/13,12,15,1
IAH,SFO,5/2/13,13,15,1
IAH,SFO,5/2/13,14,16,1
IAH,SFO,5/2/13,15,18,1
IAH,SFO,5/2/13,18,20,1
IAH,SFO,5/2/13,18,21,1
IAH,SFO,5/2/13,19,21,1
IAH,SFO,5/2/13,21,23,1
JFK,SFO,5/2/13,6,9,1
JFK,SFO,5/2/13,7,10,1
JFK,SFO,5/2/13,7,11,1
JFK,SFO,5/2/13,8,11,2
JFK,SFO,5/2/13,9,12,2
JFK,SFO,5/2/13,10,13,2
JFK,SFO,5/2/13,10,14,1
JFK,SFO,5/2/13,12,15,1
JFK,SFO,5/2/13,14,17,2
JFK,SFO,5/2/13,15,19,1
JFK,SFO,5/2/13,16,19,1
JFK,SFO,5/2/13,16,20,1
JFK,SFO,5/2/13,17,20,1
JFK,SFO,5/2/13,17,21,2
JFK,SFO,5/2/13,18,21,1
JFK,SFO,5/2/13,18,22,2
JFK,SFO,5/2/13,19,22,1
JFK,SFO,5/2/13,20,23,1
KOA,SFO,5/2/13,20,4,1
LAS,SFO,5/2/13,5,7,1
LAS,SFO,5/2/13,6,7,1
LAS,SFO,5/2/13,8,9,2
LAS,SFO,5/2/13,9,11,1
LAS,SFO,5/2/13,10,12,1
LAS,SFO,5/2/13,11,13,1
LAS,SFO,5/2/13,12,14,2
LAS,SFO,5/2/13,13,15,1
LAS,SFO,5/2/13,14,16,1
LAS,SFO,5/2/13,15,16,1
LAS,SFO,5/2/13,16,17,1
LAS,SFO,5/2/13,16,18,1
LAS,SFO,5/2/13,18,19,1
LAS,SFO,5/2/13,19,20,2
LAS,SFO,5/2/13,19,21,2
LAS,SFO,5/2/13,20,21,1
LAS,SFO,5/2/13,20,22,1
LAS,SFO,5/2/13,21,23,1
LAX,SFO,5/2/13,2,3,1
LAX,SFO,5/2/13,6,7,2
LAX,SFO,5/2/13,7,8,2
LAX,SFO,5/2/13,7,9,2
LAX,SFO,5/2/13,8,9,1
LAX,SFO,5/2/13,8,10,2
LAX,SFO,5/2/13,9,10,1
LAX,SFO,5/2/13,10,11,2
LAX,SFO,5/2/13,10,12,1
LAX,SFO,5/2/13,11,12,3
LAX,SFO,5/2/13,11,13,1
LAX,SFO,5/2/13,12,13,3
LAX,SFO,5/2/13,13,14,2
LAX,SFO,5/2/13,14,15,2
LAX,SFO,5/2/13,15,16,5
LAX,SFO,5/2/13,15,17,2
LAX,SFO,5/2/13,16,17,1
LAX,SFO,5/2/13,16,18,1
LAX,SFO,5/2/13,17,18,2
LAX,SFO,5/2/13,17,19,2
LAX,SFO,5/2/13,18,19,1
LAX,SFO,5/2/13,19,20,3
LAX,SFO,5/2/13,19,21,1
LAX,SFO,5/2/13,20,21,3
LAX,SFO,5/2/13,20,22,3
LAX,SFO,5/2/13,21,22,1
LAX,SFO,5/2/13,21,23,2
LAX,SFO,5/2/13,23,0,3
LGB,SFO,5/2/13,12,14,1
LGB,SFO,5/2/13,17,18,1
LIH,SFO,5/2/13,13,21,1
LMT,SFO,5/2/13,5,6,1
LVM,SFO,5/2/13,18,19,1
MCC,SFO,5/2/13,10,11,1
MCI,SFO,5/2/13,7,9,1
MCI,SFO,5/2/13,16,18,1
MCO,SFO,5/2/13,6,9,1
MCO,SFO,5/2/13,18,21,1
MCO,SFO,5/2/13,18,22,1
MDW,SFO,5/2/13,8,11,1
MDW,SFO,5/2/13,17,19,1
MDW,SFO,5/2/13,19,21,1
MEM,SFO,5/2/13,2,5,1
MFR,SFO,5/2/13,5,6,1
MFR,SFO,5/2/13,8,9,1
MFR,SFO,5/2/13,10,12,1
MFR,SFO,5/2/13,13,15,1
MFR,SFO,5/2/13,16,18,1
MFR,SFO,5/2/13,19,21,1
MHR,SFO,5/2/13,17,18,1
MIA,SFO,5/2/13,8,11,1
MIA,SFO,5/2/13,16,20,1
MIA,SFO,5/2/13,20,23,1
MKE,SFO,5/2/13,13,16,1
MOD,SFO,5/2/13,6,6,1
MOD,SFO,5/2/13,10,11,1
MOD,SFO,5/2/13,16,17,1
MRY,SFO,5/2/13,5,6,1
MRY,SFO,5/2/13,9,10,1
MRY,SFO,5/2/13,11,11,1
MRY,SFO,5/2/13,11,12,2
MRY,SFO,5/2/13,14,15,1
MRY,SFO,5/2/13,17,17,1
MRY,SFO,5/2/13,20,21,1
MSP,SFO,5/2/13,7,9,1
MSP,SFO,5/2/13,9,11,1
MSP,SFO,5/2/13,11,13,1
MSP,SFO,5/2/13,14,16,1
MSP,SFO,5/2/13,17,19,1
MSP,SFO,5/2/13,18,20,1
MSP,SFO,5/2/13,21,23,1
MSY,SFO,5/2/13,16,19,1
OGG,SFO,5/2/13,12,20,1
OGG,SFO,5/2/13,21,5,1
OKC,SFO,5/2/13,6,7,1
ONT,SFO,5/2/13,6,7,1
ONT,SFO,5/2/13,8,10,1
ONT,SFO,5/2/13,13,14,1
ORD,SFO,5/2/13,6,9,1
ORD,SFO,5/2/13,7,10,1
ORD,SFO,5/2/13,8,10,1
ORD,SFO,5/2/13,8,11,1
ORD,SFO,5/2/13,9,12,1
ORD,SFO,5/2/13,10,12,1
ORD,SFO,5/2/13,10,13,2
ORD,SFO,5/2/13,12,14,1
ORD,SFO,5/2/13,12,15,1
ORD,SFO,5/2/13,14,17,2
ORD,SFO,5/2/13,15,18,1
ORD,SFO,5/2/13,16,19,2
ORD,SFO,5/2/13,17,20,1
ORD,SFO,5/2/13,18,21,1
ORD,SFO,5/2/13,19,21,2
ORD,SFO,5/2/13,20,22,1
ORD,SFO,5/2/13,20,23,1
ORD,SFO,5/2/13,21,23,1
OTH,SFO,5/2/13,10,12,1
OTH,SFO,5/2/13,19,21,1
PDX,SFO,5/2/13,5,7,1
PDX,SFO,5/2/13,6,8,2
PDX,SFO,5/2/13,7,9,1
PDX,SFO,5/2/13,10,11,1
PDX,SFO,5/2/13,10,12,3
PDX,SFO,5/2/13,11,13,1
PDX,SFO,5/2/13,12,14,1
PDX,SFO,5/2/13,13,15,2
PDX,SFO,5/2/13,15,17,1
PDX,SFO,5/2/13,17,18,1
PDX,SFO,5/2/13,19,21,2
PHL,SFO,5/2/13,6,9,1
PHL,SFO,5/2/13,7,10,1
PHL,SFO,5/2/13,7,11,1
PHL,SFO,5/2/13,15,18,1
PHL,SFO,5/2/13,16,19,1
PHL,SFO,5/2/13,17,20,1
PHL,SFO,5/2/13,17,21,1
PHL,SFO,5/2/13,18,21,1
PHL,SFO,5/2/13,20,23,1
PHX,SFO,5/2/13,6,8,1
PHX,SFO,5/2/13,6,9,1
PHX,SFO,5/2/13,7,9,1
PHX,SFO,5/2/13,9,11,1
PHX,SFO,5/2/13,10,12,2
PHX,SFO,5/2/13,12,14,1
PHX,SFO,5/2/13,13,15,2
PHX,SFO,5/2/13,16,18,2
PHX,SFO,5/2/13,17,19,1
PHX,SFO,5/2/13,20,22,1
PIT,SFO,5/2/13,6,8,1
PSC,SFO,5/2/13,6,8,1
PSC,SFO,5/2/13,13,15,1
PSP,SFO,5/2/13,7,8,1
PSP,SFO,5/2/13,8,9,1
PSP,SFO,5/2/13,11,12,1
PSP,SFO,5/2/13,12,13,1
PSP,SFO,5/2/13,14,16,1
PSP,SFO,5/2/13,17,18,1
PSP,SFO,5/2/13,17,19,1
PSP,SFO,5/2/13,19,21,1
RDD,SFO,5/2/13,6,7,1
RDD,SFO,5/2/13,12,13,1
RDD,SFO,5/2/13,20,22,1
RDM,SFO,5/2/13,5,7,1
RDM,SFO,5/2/13,13,15,1
RDU,SFO,5/2/13,7,9,1
RNO,SFO,5/2/13,6,7,1
RNO,SFO,5/2/13,9,10,1
RNO,SFO,5/2/13,11,13,1
RNO,SFO,5/2/13,14,15,1
RNO,SFO,5/2/13,17,18,2
RNO,SFO,5/2/13,19,20,1
SAN,SFO,5/2/13,6,7,1
SAN,SFO,5/2/13,6,8,2
SAN,SFO,5/2/13,7,8,1
SAN,SFO,5/2/13,7,9,1
SAN,SFO,5/2/13,9,10,1
SAN,SFO,5/2/13,9,11,1
SAN,SFO,5/2/13,10,11,1
SAN,SFO,5/2/13,11,12,1
SAN,SFO,5/2/13,12,13,2
